geography,year,n_areas,z_total_mean,z_total_lo90,z_total_hi90
City of London,2018,6,203.638972923361,57.8163765765581,324.6510465248088
City of London,2019,6,275.087837524356,235.05136761162487,375.95792955494494
City of London,2020,6,173.60089317721616,98.34574703399267,221.15548043923474
City of London,2021,6,41.02172190811123,-1.4652079863997893,141.27000792664094
City of London,total,6,1810.0,1810.0,1810.0
Croydon,2012,229,922.571026389855,740.3132413520334,1129.394149660472
Croydon,2013,229,1526.7690061341045,1313.9504880069983,1725.4252577864827
Croydon,2014,229,1194.9481641452894,944.7880606134062,1472.1045531350273
Croydon,2015,229,1210.843115485272,1024.440216403211,1424.2214181036843
Croydon,2016,229,1536.8131535048046,1316.4269915677735,1772.0556769231218
Croydon,2017,229,1217.6145543866464,1021.607381100501,1448.074104880888
Croydon,2018,229,2015.7727325766487,1822.5408122867634,2220.4146269642542
Croydon,2019,229,1640.0358928766393,1406.0052715851102,1879.6819203169705
Croydon,2020,229,1552.7886774095607,1386.2927537510038,1733.6787748561524
Croydon,2021,229,1351.8436770911794,1143.2843528224007,1591.623741571478
Croydon,total,229,14169.999999999998,14169.999999999998,14169.999999999998
Ealing,2012,199,1071.8067606386,884.9064922906524,1285.812164770551
Ealing,2013,199,1057.7552705142077,808.0278143061947,1315.4391626271688
Ealing,2014,199,1277.0602070565,976.6678019046851,1580.646524980205
Ealing,2015,199,1868.5738491370446,1654.0651866216276,2092.2122084555617
Ealing,2016,199,1520.478382281045,1263.319471404741,1759.481658075858
Ealing,2017,199,1869.8828440501024,1634.4673471852207,2107.289552080677
Ealing,2018,199,1898.1284434992242,1658.6102979976674,2146.9225605078022
Ealing,2019,199,1521.7823627166263,1287.5295710361443,1763.9220355729574
Ealing,2020,199,1536.7580782694617,1294.0499817015905,1782.754800227959
Ealing,2021,199,1315.773801837188,1100.0049734335103,1541.247435955216
Ealing,total,199,14938.0,14938.0,14938.0
Enfield,2012,183,882.368656629084,725.8755846077945,1054.6707542187598
Enfield,2013,183,522.0292970611977,406.9390453332562,654.3147304777784
Enfield,2014,183,765.8509744579487,647.8053339520824,892.4524522003171
Enfield,2015,183,570.152960657928,461.34092684707883,702.2405363844841
Enfield,2016,183,659.2056271375723,527.5102498287396,806.5200281725205
Enfield,2017,183,604.2514303135601,469.42534273100955,752.2170283183618
Enfield,2018,183,635.5233891949792,531.1385852645734,754.8796260127805
Enfield,2019,183,535.348255043468,415.4348895496251,658.2355123766939
Enfield,2020,183,473.74387568307156,359.2940338182751,606.9476173336277
Enfield,2021,183,374.5255338211904,268.74111943382775,492.7878015255755
Enfield,total,183,6023.0,6023.0,6023.0
Greenwich,2012,161,1257.7261430507674,950.6276902344251,1586.5844453938228
Greenwich,2013,161,1442.3963876660966,1137.9192900413723,1760.521827244199
Greenwich,2014,161,1577.4611224253165,1314.3048985482717,1859.7741199560944
Greenwich,2015,161,2344.0297366548975,2048.149451818535,2632.2358678505375
Greenwich,2016,161,2365.5829992028202,2031.982448023884,2690.8915025938536
Greenwich,2017,161,1641.7261911026785,1324.6479825651368,1973.2568234681285
Greenwich,2018,161,1313.3997766085454,912.4557172399109,1693.1302477850045
Greenwich,2019,161,2090.874736706172,1793.5115644167347,2390.809189720848
Greenwich,2020,161,1080.704559958557,747.3559869831885,1441.1014262902102
Greenwich,2021,161,1259.0983466241487,980.8118036342124,1568.862832719438
Greenwich,total,161,16373.0,16373.0,16373.000000000002
Hackney,2012,149,1573.6762609045686,1325.9440647536571,1828.0966268209809
Hackney,2013,149,1908.7392362943583,1664.330122965912,2143.2712256201485
Hackney,2014,149,1591.250698880614,1305.8339240030173,1846.0963237896149
Hackney,2015,149,1518.0271573877098,1247.219227936371,1782.9842298949818
Hackney,2016,149,1421.8485709592421,1188.7865353018535,1663.3118862821032
Hackney,2017,149,1644.1745240704572,1393.2775086414636,1913.7858791067472
Hackney,2018,149,1034.7921496600457,790.9891096627588,1311.748202200104
Hackney,2019,149,1178.1535840681527,907.3547543092168,1442.4899089851028
Hackney,2020,149,975.6043180741814,784.700918920218,1177.045413883597
Hackney,2021,149,1093.7334997006699,878.6427977516113,1330.3450108947125
Hackney,total,149,13940.0,13940.0,13940.0
Hammersmith and Fulham,2012,115,853.8340787159536,701.4695059542859,1021.0531696131608
Hammersmith and Fulham,2013,115,1031.0547574417355,880.1041456610765,1191.2551088103473
Hammersmith and Fulham,2014,115,1298.3905644651654,1025.4896121979152,1555.9755594532273
Hammersmith and Fulham,2015,115,1241.3759556020873,923.8225608750478,1536.5857731040103
Hammersmith and Fulham,2016,115,1162.731592200273,992.2754249438798,1363.1652667192716
Hammersmith and Fulham,2017,115,1032.221504405284,839.6007600746444,1225.2773552185006
Hammersmith and Fulham,2018,115,1194.9398560474554,859.5885331409651,1503.2155667647212
Hammersmith and Fulham,2019,115,1241.5216897552398,1063.283357221438,1431.109982889306
Hammersmith and Fulham,2020,115,753.5363168741799,570.5147433026664,959.2648142018312
